019-09-25 09:21:24 -  - TIME GetUpdatesList(request) 0.153 sec
2019-10-11 16:44:03 -  - utf=Y&lang=ru&stable=Y&CANGZIP=Y&SUPD_DBS=MYSQL&XE=N&CLIENT_SITE=tuso-shop.ru&LICENSE_KEY=X&SUPD_STS=4&SUPD_URS=0&SUPD_URSA=5667&TYPENC=F&CLIENT_PHPVER=7.1.22&NGINX=Y&dbv=10.3.9&instm=main%2C19.0.293%2CN%3Bgoodde.iblockprops%2C0.1.0%2CN%3Breport%2C18.1.600%2CN%3Bmobileapp%2C19.0.0%2CN%3Bgoodde.redirect%2C0.9.3%2CN%3Bwebdebug.callme%2C1.0.3%2CN%3Bbxmod.propfilter%2C1.0.2%2CN%3Bclouds%2C18.5.200%2CN%3Btranslate%2C18.0.100%2CN%3Bfileman%2C18.5.500%2CN%3Bforum%2C18.5.0%2CN%3Bgoodde.yandexturbo%2C1.1.6%2CN%3Bcatalog%2C18.6.800%2CN%3Bseo%2C19.0.600%2CN%3Basd.iblock%2C4.7.17%2CN%3Brarus.sms4b%2C1.8.4%2CN%3Bgoodde.yandexturboapi%2C1.0.12%2CN%3Bbizsolutions.sms%2C1.6.11%2CN%3Bgoodde.recaptcha%2C0.0.9%2CN%3Bsubscribe%2C18.5.0%2CN%3Bpull%2C18.5.500%2CN%3Bui%2C19.0.100%2CN%3Bsocialservices%2C18.5.300%2CN%3Bperfmon%2C18.5.0%2CN%3Bconversion%2C18.5.1%2CN%3Bcurrency%2C19.0.0%2CN%3Bsender%2C19.0.100%2CN%3Bsearch%2C18.5.200%2CN%3Bmessageservice%2C18.0.3%2CN%3Bsale%2C18.6.800%2CN%3Brest%2C18.5.150%2CN%3Babtest%2C18.5.0%2CN%3Bb24connector%2C18.5.0%2CN%3Bbitrixcloud%2C18.5.0%2CN%3Bsecurity%2C19.0.0%2CN%3Bbitrix.liveapi%2C1.0.22%2CN%3Bgoodde.iprop%2C0.0.9%2CN%3Bcube.ufpropertyhtml%2C1.0.5%2CN%3Beshopapp%2C16.5.0%2CN%3Baskaron.agents%2C1.0.1%2CN%3Bphotogallery%2C18.0.0%2CN%3Blanding%2C18.7.900%2CN%3Bbitrix.mpbuilder%2C1.0.14%2CN%3Bblog%2C19.0.0%2CN%3Biblock%2C18.6.850%2CN%3Bvote%2C18.5.100%2CN%3Bbeono.flashmessage%2C1.0.5%2CN%3Bstoreassist%2C18.1.0%2CN%3Bform%2C18.0.0%2CN%3Bcompression%2C16.0.0%2CN%3Bhighloadblock%2C18.5.100%2CN%3Bims.register%2C0.7.3%2CN%3Bscale%2C17.5.0%2CN%3Bipol.sdek%2C3.8.1%2CN&reqm=goodde.iblockprops%2Cgoodde.redirect%2Cwebdebug.callme%2Cbxmod.propfilter%2Cgoodde.yandexturbo%2Casd.iblock%2Crarus.sms4b%2Cgoodde.yandexturboapi%2Cbizsolutions.sms%2Cgoodde.recaptcha%2Cbitrix.liveapi%2Cgoodde.iprop%2Ccube.ufpropertyhtml%2Caskaron.agents%2Cbitrix.mpbuilder%2Cbeono.flashmessage%2Cims.register%2Cipol.sdek&SUPD_SRS=RU&SUPD_CMP=Y
2019-10-11 16:44:03 -  - exec CUpdateClientPartner::GetHTTPPage
2019-10-11 16:44:03 -  - TIME GetUpdatesList(request) 0.157 sec
2019-10-11 16:44:03 -  - exec CUpdateClientPartner::ParseServerData
2019-10-11 16:44:26 -  - exec CUpdateClientPartner::GetUpdatesList
2019-10-11 16:44:26 -  - exec CUpdateClientPartner::__CollectRequestData
2019-10-11 16:44:26 -  - utf=Y&lang=ru&stable=Y&CANGZIP=Y&SUPD_DBS=MYSQL&XE=N&CLIENT_SITE=tuso-shop.ru&LICENSE_KEY=X&SUPD_STS=4&SUPD_URS=0&SUPD_URSA=5667&TYPENC=F&CLIENT_PHPVER=7.1.22&NGINX=Y&dbv=10.3.9&instm=main%2C19.0.293%2CN%3Bgoodde.iblockprops%2C0.1.0%2CN%3Breport%2C18.1.600%2CN%3Bmobileapp%2C19.0.0%2CN%3Bgoodde.redirect%2C0.9.3%2CN%3Bwebdebug.callme%2C1.0.3%2CN%3Bbxmod.propfilter%2C1.0.2%2CN%3Bclouds%2C18.5.200%2CN%3Btranslate%2C18.0.100%2CN%3Bfileman%2C18.5.500%2CN%3Bforum%2C18.5.0%2CN%3Bgoodde.yandexturbo%2C1.1.6%2CN%3Bcatalog%2C18.6.800%2CN%3Bseo%2C19.0.600%2CN%3Basd.iblock%2C4.7.17%2CN%3Brarus.sms4b%2C1.8.4%2CN%3Bgoodde.yandexturboapi%2C1.0.13%2CN%3Bbizsolutions.sms%2C1.6.11%2CN%3Bgoodde.recaptcha%2C0.0.9%2CN%3Bsubscribe%2C18.5.0%2CN%3Bpull%2C18.5.500%2CN%3Bui%2C19.0.100%2CN%3Bsocialservices%2C18.5.300%2CN%3Bperfmon%2C18.5.0%2CN%3Bconversion%2C18.5.1%2CN%3Bcurrency%2C19.0.0%2CN%3Bsender%2C19.0.100%2CN%3Bsearch%2C18.5.200%2CN%3Bmessageservice%2C18.0.3%2CN%3Bsale%2C18.6.800%2CN%3Brest%2C18.5.150%2CN%3Babtest%2C18.5.0%2CN%3Bb24connector%2C18.5.0%2CN%3Bbitrixcloud%2C18.5.0%2CN%3Bsecurity%2C19.0.0%2CN%3Bbitrix.liveapi%2C1.0.22%2CN%3Bgoodde.iprop%2C0.0.9%2CN%3Bcube.ufpropertyhtml%2C1.0.5%2CN%3Beshopapp%2C16.5.0%2CN%3Baskaron.agents%2C1.0.1%2CN%3Bphotogallery%2C18.0.0%2CN%3Blanding%2C18.7.900%2CN%3Bbitrix.mpbuilder%2C1.0.14%2CN%3Bblog%2C19.0.0%2CN%3Biblock%2C18.6.850%2CN%3Bvote%2C18.5.100%2CN%3Bbeono.flashmessage%2C1.0.5%2CN%3Bstoreassist%2C18.1.0%2CN%3Bform%2C18.0.0%2CN%3Bcompression%2C16.0.0%2CN%3Bhighloadblock%2C18.5.100%2CN%3Bims.register%2C0.7.3%2CN%3Bscale%2C17.5.0%2CN%3Bipol.sdek%2C3.8.1%2CN&reqm=goodde.iblockprops%2Cgoodde.redirect%2Cwebdebug.callme%2Cbxmod.propfilter%2Cgoodde.yandexturbo%2Casd.iblock%2Crarus.sms4b%2Cgoodde.yandexturboapi%2Cbizsolutions.sms%2Cgoodde.recaptcha%2Cbitrix.liveapi%2Cgoodde.iprop%2Ccube.ufpropertyhtml%2Caskaron.agents%2Cbitrix.mpbuilder%2Cbeono.flashmessage%2Cims.register%2Cipol.sdek&SUPD_SRS=RU&SUPD_CMP=Y
2019-10-11 16:44:26 -  - exec CUpdateClientPartner::GetHTTPPage
2019-10-11 16:44:26 -  - TIME GetUpdatesList(request) 0.161 sec
2019-10-11 16:44:26 -  - exec CUpdateClientPartner::ParseServerData
2019-10-11 16:44:37 -  - exec CUpdateClientPartner::LoadModulesUpdates
2019-10-11 16:44:37 -  - exec CUpdateClientPartner::__CollectRequestData
2019-10-11 16:44:37 -  - utf=Y&lang=ru&stable=Y&CANGZIP=Y&SUPD_DBS=MYSQL&XE=N&CLIENT_SITE=tuso-shop.ru&LICENSE_KEY=X&SUPD_STS=4&SUPD_URS=0&SUPD_URSA=5667&TYPENC=F&CLIENT_PHPVER=7.1.22&NGINX=Y&dbv=10.3.9&instm=main%2C19.0.293%2CN%3Bgoodde.iblockprops%2C0.1.0%2CN%3Breport%2C18.1.600%2CN%3Bmobileapp%2C19.0.0%2CN%3Bgoodde.redirect%2C0.9.3%2CN%3Bwebdebug.callme%2C1.0.3%2CN%3Bbxmod.propfilter%2C1.0.2%2CN%3Bclouds%2C18.5.200%2CN%3Btranslate%2C18.0.100%2CN%3Bfileman%2C18.5.500%2CN%3Bforum%2C18.5.0%2CN%3Bgoodde.yandexturbo%2C1.1.6%2CN%3Bcatalog%2C18.6.800%2CN%3Bseo%2C19.0.600%2CN%3Basd.iblock%2C4.7.17%2CN%3Brarus.sms4b%2C1.8.4%2CN%3Bgoodde.yandexturboapi%2C1.0.13%2CN%3Bbizsolutions.sms%2C1.6.11%2CN%3Bgoodde.recaptcha%2C0.0.9%2CN%3Bsubscribe%2C18.5.0%2CN%3Bpull%2C18.5.500%2CN%3Bui%2C19.0.100%2CN%3Bsocialservices%2C18.5.300%2CN%3Bperfmon%2C18.5.0%2CN%3Bconversion%2C18.5.1%2CN%3Bcurrency%2C19.0.0%2CN%3Bsender%2C19.0.100%2CN%3Bsearch%2C18.5.200%2CN%3Bmessageservice%2C18.0.3%2CN%3Bsale%2C18.6.800%2CN%3Brest%2C18.5.150%2CN%3Babtest%2C18.5.0%2CN%3Bb24connector%2C18.5.0%2CN%3Bbitrixcloud%2C18.5.0%2CN%3Bsecurity%2C19.0.0%2CN%3Bbitrix.liveapi%2C1.0.22%2CN%3Bgoodde.iprop%2C0.0.9%2CN%3Bcube.ufpropertyhtml%2C1.0.5%2CN%3Beshopapp%2C16.5.0%2CN%3Baskaron.agents%2C1.0.1%2CN%3Bphotogallery%2C18.0.0%2CN%3Blanding%2C18.7.900%2CN%3Bbitrix.mpbuilder%2C1.0.14%2CN%3Bblog%2C19.0.0%2CN%3Biblock%2C18.6.850%2CN%3Bvote%2C18.5.100%2CN%3Bbeono.flashmessage%2C1.0.5%2CN%3Bstoreassist%2C18.1.0%2CN%3Bform%2C18.0.0%2CN%3Bcompression%2C16.0.0%2CN%3Bhighloadblock%2C18.5.100%2CN%3Bims.register%2C0.7.3%2CN%3Bscale%2C17.5.0%2CN%3Bipol.sdek%2C3.8.1%2CN&reqm=bizsolutions.sms&lim=Y&SUPD_SRS=RU&SUPD_CMP=Y
2019-10-11 16:44:37 -  - exec CUpdateClientPartner::GetHTTPPage
2019-10-11 16:44:37 -  - TIME LoadModulesUpdates(request) 0.153 sec
2019-10-11 16:44:37 -  - exec CUpdateClientPartner::ParseServerData
2019-10-11 16:44:37 - S - STEP
2019-10-11 16:44:37 - LMU01 - LoadModulesUpdates-Step
2019-10-11 16:44:37 -  - exec CUpdateClientPartner::LoadModulesUpdates
2019-10-11 16:44:37 -  - exec CUpdateClientPartner::ParseServerData
2019-10-11 16:44:37 -  - loadFile
2019-10-11 16:44:37 - U - RETURN
2019-10-11 16:44:37 -  - exec CUpdateClientPartner::UnGzipArchive
2019-10-11 16:44:37 -  - TIME UnGzipArchive 0.002 sec
2019-10-11 16:44:37 -  - TIME UpdateStepModules 0.002 sec
2019-10-11 16:44:37 - UPD_SUCCESS - Updated: bizsolutions.sms (1.6.12)<br><p> <ul> <li>Исправлена ошибка добавления глобальных событий в кодировке, отличной от utf-8;</li> </ul> </p> 
2019-10-11 16:44:38 -  - exec CUpdateClientPartner::LoadModulesUpdates
2019-10-11 16:44:38 -  - exec CUpdateClientPartner::__CollectRequestData
2019-10-11 16:44:38 -  - utf=Y&lang=ru&stable=Y&CANGZIP=Y&SUPD_DBS=MYSQL&XE=N&CLIENT_SITE=tuso-shop.ru&LICENSE_KEY=X&SUPD_STS=4&SUPD_URS=0&SUPD_URSA=5667&TYPENC=F&CLIENT_PHPVER=7.1.22&NGINX=Y&dbv=10.3.9&instm=main%2C19.0.293%2CN%3Bgoodde.iblockprops%2C0.1.0%2CN%3Breport%2C18.1.600%2CN%3Bmobileapp%2C19.0.0%2CN%3Bgoodde.redirect%2C0.9.3%2CN%3Bwebdebug.callme%2C1.0.3%2CN%3Bbxmod.propfilter%2C1.0.2%2CN%3Bclouds%2C18.5.200%2CN%3Btranslate%2C18.0.100%2CN%3Bfileman%2C18.5.500%2CN%3Bforum%2C18.5.0%2CN%3Bgoodde.yandexturbo%2C1.1.6%2CN%3Bcatalog%2C18.6.800%2CN%3Bseo%2C19.0.600%2CN%3Basd.iblock%2C4.7.17%2CN%3Brarus.sms4b%2C1.8.4%2CN%3Bgoodde.yandexturboapi%2C1.0.13%2CN%3Bbizsolutions.sms%2C1.6.12%2CN%3Bgoodde.recaptcha%2C0.0.9%2CN%3Bsubscribe%2C18.5.0%2CN%3Bpull%2C18.5.500%2CN%3Bui%2C19.0.100%2CN%3Bsocialservices%2C18.5.300%2CN%3Bperfmon%2C18.5.0%2CN%3Bconversion%2C18.5.1%2CN%3Bcurrency%2C19.0.0%2CN%3Bsender%2C19.0.100%2CN%3Bsearch%2C18.5.200%2CN%3Bmessageservice%2C18.0.3%2CN%3Bsale%2C18.6.800%2CN%3Brest%2C18.5.150%2CN%3Babtest%2C18.5.0%2CN%3Bb24connector%2C18.5.0%2CN%3Bbitrixcloud%2C18.5.0%2CN%3Bsecurity%2C19.0.0%2CN%3Bbitrix.liveapi%2C1.0.22%2CN%3Bgoodde.iprop%2C0.0.9%2CN%3Bcube.ufpropertyhtml%2C1.0.5%2CN%3Beshopapp%2C16.5.0%2CN%3Baskaron.agents%2C1.0.1%2CN%3Bphotogallery%2C18.0.0%2CN%3Blanding%2C18.7.900%2CN%3Bbitrix.mpbuilder%2C1.0.14%2CN%3Bblog%2C19.0.0%2CN%3Biblock%2C18.6.850%2CN%3Bvote%2C18.5.100%2CN%3Bbeono.flashmessage%2C1.0.5%2CN%3Bstoreassist%2C18.1.0%2CN%3Bform%2C18.0.0%2CN%3Bcompression%2C16.0.0%2CN%3Bhighloadblock%2C18.5.100%2CN%3Bims.register%2C0.7.3%2CN%3Bscale%2C17.5.0%2CN%3Bipol.sdek%2C3.8.1%2CN&reqm=bizsolutions.sms&lim=Y&SUPD_SRS=RU&SUPD_CMP=Y
2019-10-11 16:44:38 -  - exec CUpdateClientPartner::GetHTTPPage
2019-10-11 16:44:38 -  - TIME LoadModulesUpdates(request) 0.167 sec
2019-10-11 16:44:38 -  - exec CUpdateClientPartner::ParseServerData
2019-10-11 16:44:38 - STEP - Finish - NOUPDATES
2019-10-11 16:44:38 - STEP - Finish - NOUPDATES
2019-10-11 16:44:41 -  - exec CUpdateClientPartner::GetUpdatesList
2019-10-11 16:44:41 -  - exec CUpdateClientPartner::__CollectRequestData
2019-10-11 16:44:41 -  - utf=Y&lang=ru&stable=Y&CANGZIP=Y&SUPD_DBS=MYSQL&XE=N&CLIENT_SITE=tuso-shop.ru&LICENSE_KEY=X&SUPD_STS=4&SUPD_URS=0&SUPD_URSA=5667&TYPENC=F&CLIENT_PHPVER=7.1.22&NGINX=Y&dbv=10.3.9&instm=main%2C19.0.293%2CN%3Bgoodde.iblockprops%2C0.1.0%2CN%3Breport%2C18.1.600%2CN%3Bmobileapp%2C19.0.0%2CN%3Bgoodde.redirect%2C0.9.3%2CN%3Bwebdebug.callme%2C1.0.3%2CN%3Bbxmod.propfilter%2C1.0.2%2CN%3Bclouds%2C18.5.200%2CN%3Btranslate%2C18.0.100%2CN%3Bfileman%2C18.5.500%2CN%3Bforum%2C18.5.0%2CN%3Bgoodde.yandexturbo%2C1.1.6%2CN%3Bcatalog%2C18.6.800%2CN%3Bseo%2C19.0.600%2CN%3Basd.iblock%2C4.7.17%2CN%3Brarus.sms4b%2C1.8.4%2CN%3Bgoodde.yandexturboapi%2C1.0.13%2CN%3Bbizsolutions.sms%2C1.6.12%2CN%3Bgoodde.recaptcha%2C0.0.9%2CN%3Bsubscribe%2C18.5.0%2CN%3Bpull%2C18.5.500%2CN%3Bui%2C19.0.100%2CN%3Bsocialservices%2C18.5.300%2CN%3Bperfmon%2C18.5.0%2CN%3Bconversion%2C18.5.1%2CN%3Bcurrency%2C19.0.0%2CN%3Bsender%2C19.0.100%2CN%3Bsearch%2C18.5.200%2CN%3Bmessageservice%2C18.0.3%2CN%3Bsale%2C18.6.800%2CN%3Brest%2C18.5.150%2CN%3Babtest%2C18.5.0%2CN%3Bb24connector%2C18.5.0%2CN%3Bbitrixcloud%2C18.5.0%2CN%3Bsecurity%2C19.0.0%2CN%3Bbitrix.liveapi%2C1.0.22%2CN%3Bgoodde.iprop%2C0.0.9%2CN%3Bcube.ufpropertyhtml%2C1.0.5%2CN%3Beshopapp%2C16.5.0%2CN%3Baskaron.agents%2C1.0.1%2CN%3Bphotogallery%2C18.0.0%2CN%3Blanding%2C18.7.900%2CN%3Bbitrix.mpbuilder%2C1.0.14%2CN%3Bblog%2C19.0.0%2CN%3Biblock%2C18.6.850%2CN%3Bvote%2C18.5.100%2CN%3Bbeono.flashmessage%2C1.0.5%2CN%3Bstoreassist%2C18.1.0%2CN%3Bform%2C18.0.0%2CN%3Bcompression%2C16.0.0%2CN%3Bhighloadblock%2C18.5.100%2CN%3Bims.register%2C0.7.3%2CN%3Bscale%2C17.5.0%2CN%3Bipol.sdek%2C3.8.1%2CN&reqm=goodde.iblockprops%2Cgoodde.redirect%2Cwebdebug.callme%2Cbxmod.propfilter%2Cgoodde.yandexturbo%2Casd.iblock%2Crarus.sms4b%2Cgoodde.yandexturboapi%2Cbizsolutions.sms%2Cgoodde.recaptcha%2Cbitrix.liveapi%2Cgoodde.iprop%2Ccube.ufpropertyhtml%2Caskaron.agents%2Cbitrix.mpbuilder%2Cbeono.flashmessage%2Cims.register%2Cipol.sdek&fullmoduleinfo=Y&SUPD_SRS=RU&SUPD_CMP=Y
2019-10-11 16:44:41 -  - exec CUpdateClientPartner::GetHTTPPage
